TF	P_by_ChipSeq_UPPP:site-vs-nosite:odds.ratio	P_by_ChipSeq_UPPP:site-vs-nosite:num.sites	P_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites	P_by_ChipSeq_UPPP:site-vs-nosite:neg.log10.corr.significance	P_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-10k	P_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-10k	P_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-100k	P_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-100k	P_by_ChipSeq_TUMOR:site-vs-nosite:odds.ratio	P_by_ChipSeq_TUMOR:site-vs-nosite:num.sites	P_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites	P_by_ChipSeq_TUMOR:site-vs-nosite:neg.log10.corr.significance	P_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-10k	P_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-10k	P_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-100k	P_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-100k	E_by_ChipSeq_UPPP:site-vs-nosite:odds.ratio	E_by_ChipSeq_UPPP:site-vs-nosite:num.sites	E_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites	E_by_ChipSeq_UPPP:site-vs-nosite:neg.log10.corr.significance	E_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-10k	E_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-10k	E_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-100k	E_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-100k	E_by_ChipSeq_TUMOR:site-vs-nosite:odds.ratio	E_by_ChipSeq_TUMOR:site-vs-nosite:num.sites	E_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites	E_by_ChipSeq_TUMOR:site-vs-nosite:neg.log10.corr.significance	E_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-10k	E_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-10k	E_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-100k	E_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-100k	SE_by_ChipSeq_UPPP:site-vs-nosite:odds.ratio	SE_by_ChipSeq_UPPP:site-vs-nosite:num.sites	SE_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites	SE_by_ChipSeq_UPPP:site-vs-nosite:neg.log10.corr.significance	SE_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-10k	SE_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-10k	SE_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-100k	SE_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-100k	SE_by_ChipSeq_TUMOR:site-vs-nosite:odds.ratio	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.sites	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites	SE_by_ChipSeq_TUMOR:site-vs-nosite:neg.log10.corr.significance	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-10k	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-10k	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-100k	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-100k
ELF5_HUMAN	3.9	4	612	0	0	1196	2	1194	2.02	2	101	0	2	204	1	205		16	6661	0	36	12686	30	12687	0.0	0	372	0	3	741	9	734	1.04	18	520	0	32	958	18	972		5	161	0	7	325	14	317
ELK4_HUMAN	3.51	38	578	3.0	22	1174	12	1184	7.54	19	84	2.61	6	200	2	204	1.15	154	6523	0	255	12467	244	12473	1.71	37	335	0	27	717	45	698	1.33	144	394	0	214	776	200	790	1.68	47	119	0	48	284	63	268
EMX1_HUMAN		0	616	0	1	1195	0	1196		0	103	0	0	206	0	206		2	6675	0	6	12716	2	12715		0	372	0	0	744	0	743		2	536	0	6	984	2	988	2.01	1	165	0	1	331	0	331
EOMES_HUMAN		2	614	0	3	1193	4	1192		0	103	0	0	206	0	206	1.36	20	6657	0	23	12699	28	12689	2.01	6	366	0	5	739	6	737	1.14	16	522	0	16	974	26	964	1.2	6	160	0	5	327	10	321
EPAS1_HUMAN	1.95	7	609	0	6	1190	7	1189	2.93	7	96	0	1	205	5	201	1.53	75	6602	0	93	12629	94	12623	6.48	33	339	5.44	11	733	11	732	1.33	59	479	0	84	906	68	922	2.73	28	138	0.48	23	309	22	309
ERG_HUMAN	4.78	146	470	22.67	73	1123	58	1138	4.89	38	65	4.39	22	184	15	191	2.71	913	5764	77.11	702	12020	687	12030	2.91	111	261	8.19	95	649	94	649	3.26	397	141	22.25	459	531	450	540	3.07	119	47	5.04	150	182	135	196
ERR1_HUMAN	1.69	52	564	0	49	1147	62	1134	6.5	38	65	6.04	17	189	11	195	1.16	399	6278	0	661	12061	604	12113	1.61	82	290	0	111	633	102	641	1.11	259	279	0	451	539	403	587	1.8	105	61	0	137	195	162	169
ESR1_HUMAN	1.96	208	408	6.07	247	949	212	984	4.25	73	30	5.42	75	131	56	150	1.21	1136	5541	2.79	1841	10881	1843	10874	2.5	215	157	9.32	263	481	258	485	1.69	472	66	0.68	800	190	801	189	2.61	153	13	0.15	269	63	271	60
ESR2_HUMAN	1.41	40	576	0	56	1140	48	1148	2.35	18	85	0	17	189	11	195	1.31	335	6342	1.11	492	12230	489	12228	2.14	87	285	2.64	93	651	73	670	1.43	227	311	0.33	329	661	334	656	2.19	95	71	1.68	126	206	113	218
ETS1_HUMAN	8.43	311	305	71.76	129	1067	110	1086	3.72	37	66	2.65	27	179	24	182	3.49	1649	5028	191.55	1093	11629	973	11744	1.8	90	282	0.99	103	641	112	631	6.19	489	49	34.58	611	379	565	425	1.66	103	63	0	157	175	164	167
ETV1_HUMAN	4.11	113	503	14.85	62	1134	51	1145	6.76	34	69	5.54	12	194	14	192	1.64	496	6181	11.7	592	12130	549	12168	1.42	57	315	0	76	668	84	659	1.99	314	224	7.09	409	581	392	598	1.82	86	80	0.12	119	213	123	208
ETV4_HUMAN	1.94	2	614	0	2	1194	1	1195	0.0	0	103	0	3	203	2	204	1.68	36	6641	0	41	12681	38	12679	7.96	19	353	2.79	5	739	1	742	1.76	28	510	0	29	961	30	960	3.45	19	147	0.33	12	320	5	326
ETV5_HUMAN		3	613	0	4	1192	6	1190	1.21	3	100	0	4	202	5	201	1.18	59	6618	0	80	12642	95	12622	3.95	19	353	0.79	10	734	10	733	1.64	58	480	0	68	922	68	922	2.59	29	137	0.34	22	310	25	306
ETV6_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	0	12717		0	372	0	0	744	0	743		0	538	0	0	990	0	990	Infinity	1	165	0	0	332	0	331
EVI1_HUMAN	1.94	2	614	0	1	1195	2	1194		0	103	0	0	206	1	205	0.89	14	6663	0	35	12687	30	12687	1.79	8	364	0	9	735	5	738	1.01	17	521	0	31	959	28	962	1.53	9	157	0	12	320	9	322
FEV_HUMAN	1.76	9	607	0	10	1186	1	1195	1.0	1	102	0	1	205	2	204	1.03	38	6639	0	64	12658	70	12647		4	368	0	6	738	10	733	1.1	38	500	0	55	935	64	926	1.89	11	155	0	12	320	11	320
FLI1_HUMAN	6.63	306	310	59.1	155	1041	142	1054	3.18	38	65	1.79	29	177	32	174	2.95	1692	4985	154.83	1313	11409	1261	11456	1.46	108	264	0	163	581	155	588	5.35	499	39	23.45	698	292	684	306	1.76	124	42	0	208	124	197	134
FOSB_HUMAN	2.92	3	613	0	2	1194	0	1196		0	103	0	0	206	0	206	1.69	16	6661	0	16	12706	18	12699	5.43	8	364	0	3	741	2	741	1.46	11	527	0	11	979	14	976	1.17	7	159	0	12	320	6	325
FOSL1_HUMAN	1.39	45	571	0	64	1132	53	1143	2.44	26	77	0	25	181	23	183	1.2	427	6250	0	673	12049	685	12032	6.69	212	160	39.39	123	621	107	636	1.33	298	240	0	478	512	460	530	5.05	138	28	10.58	164	168	155	176
FOSL2_HUMAN	1.27	62	554	0	97	1099	95	1101	4.04	40	63	3.43	28	178	23	183	1.27	628	6049	2.42	961	11761	932	11785	4.96	215	157	29.29	161	583	151	592	1.75	390	148	3.28	595	395	590	400	5.17	147	19	8.47	199	133	195	136
FOS_HUMAN	1.4	73	543	0	105	1091	93	1103	3.72	36	67	2.5	26	180	23	183	1.35	628	6049	4.76	909	11813	886	11831	5.4	207	165	31.62	138	606	140	603	1.87	388	150	4.85	574	416	565	425	4.95	144	22	8.65	189	143	187	144
FOXA1_HUMAN	1.22	171	445	0	264	932	287	909	2.1	54	49	0	62	144	71	135	1.21	1420	5257	3.94	2315	10407	2273	10444	1.21	190	182	0	319	425	344	399	1.6	506	32	0	896	94	899	91	0.96	151	15	0	303	29	303	28
FOXA2_HUMAN	1.71	69	547	0.09	71	1125	82	1114	2.67	23	80	0	20	186	19	187	1.28	549	6128	2.07	834	11888	807	11910	1.54	95	277	0	129	615	135	608	1.5	339	199	1.14	525	465	526	464	1.87	112	54	0.25	170	162	174	157
FOXC1_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206	2.86	3	6674	0	1	12721	2	12715		0	372	0	0	744	0	743	1.23	2	536	0	2	988	3	987		0	166	0	1	331	0	331
FOXD2_HUMAN	Infinity	1	615	0	0	1196	0	1196		0	103	0	0	206	0	206	3.1	13	6664	0	8	12714	6	12711	4.01	2	370	0	0	744	1	742	3.28	14	524	0	8	982	4	986	3.03	3	163	0	0	332	2	329
